file,total,correct,accuracy,invalid_rate
run_1_alisawuffles_WANLI_test.json,5000,2858,0.5716,0.0
run_1_allenai_scitail_test.json,2126,1721,0.8095,0.0
run_1_anli_test_r1.json,1000,398,0.398,0.0
run_1_anli_test_r2.json,1000,348,0.348,0.0
run_1_anli_test_r3.json,1200,407,0.3392,0.0
run_1_copa_nli_test.json,1000,486,0.486,0.0
run_1_inli_implied.json,1000,54,0.054,0.0
run_1_inli_nli.json,3000,1588,0.5293,0.0
run_1_multi_nli_validation_matched.json,9815,6569,0.6693,0.0
run_1_multi_nli_validation_mismatched.json,9832,6722,0.6837,0.0
run_1_pietrolesci_nli_fever_dev.json,19998,13568,0.6785,0.0
run_1_snli_test.json,9824,8418,0.8569,0.0
run_1_snli_validation.json,9842,8495,0.8631,0.0
